p_id,name,brand,stock,specifications,car_model,year,price_a,price_b,price_c,notes
COM-B036T,BMW E53 (X5系列) 00-06,壓縮機,3.0 (10S17C) 5PK 109mm,01-,,COM-B036T,副廠,0,0,
COM-B037T,BMW F02 (7系列),壓縮機,730Ld (7SBU17C) 7PK,11,,COM-B037T,新品,0,0,0[AB19]
COM-B038T,BMW F02 (7系列),壓縮機,730li N54 (CSE717 永彰) 8PK,08-14,,COM-B038T,新品,0,0,0[AB19]
COM-B040,"BMW E60 (5系列) N52(3.0),M54(3.0),N62(3.5/4.0)",壓縮機,(7SEU17C) 6PV 110mm,16-18,,COM-B040,DENSO,0,1,1[AB19]0[LINKO]
COM-B040T,"BMW E60 (5系列) N52(3.0),M54(3.0),N62(3.5/4.0)",壓縮機,(7SEU17C) 6PV 110mm,16-18,,COM-B040T,新品,0,0,0[A]
COM-B041,BMW F10 (5系列) 528,壓縮機,(7SBU17C) 8PK,,,COM-B041,DENSO,0,1,2[A]-1[LINKO]
COM-B041T,BMW F10 (5系列) 528,壓縮機,(7SBU17C) 8PK,,,COM-B041T,新品,0,0,
COM-B042,BMW E81 (1系列) 130i,壓縮機,(7SBU17C) 6PK 110mm,06-13,,COM-B042,DENSO,0,4,1[A]3[LINKO]
COM-B043,BMW F20 (1系列) 116i (N13),壓縮機,(6SEU14C) 6PK 114mm,13-23,,COM-B043,DENSO,0,2,2[A]0[LINKO]
COM-B044,BMW E60 (5系列) 520i (N46),壓縮機,4缸 自然進氣 (6SEU14C) 6PK 110mm,06-10,,COM-B044,DENSO,0,0,0[A]
COM-B045,BMW F25 (X3系列),壓縮機,N47 柴油 (6SEU14A) 6PK,10-,,COM-B045,DENSO,0,0,1[A]-1[LINKO]
COM-B046D,BMW E81 (1系列),壓縮機,N47 柴油 (6SBU14C) 6PK 110mm,05-14,,COM-B046D,DENSO,0,1,0[A]1[LINKO]
COM-B046T,BMW E70 (X5系列) 07-13 07-10,壓縮機,3.0 30i CSE717 6P 3D 115mm,,,COM-B046T,新品,0,0,0[A]
COM-B046Z,BMW E70 (X5系列) 07-13 07-10,壓縮機,3.0 30i CSE717 6P 3D 115mm,,,COM-B046Z,正廠,0,0,0[A]
COM-B047,BMW F20 (1系列),壓縮機,柴油 N57 (7SEU17A) 6PK 110mm,,,COM-B047,DENSO,0,2,2[A]0[LINKO]
COM-B047T,BMW F25 (X3系列),壓縮機,N20 N47 N57 皮帶溝115mm 6PK,,,COM-B047T,新品,0,0,0[A0]
COM-B048,BMW E83 (X3系列),壓縮機,3.0 (ND-7SBU16C) 4PK 110MM,,,COM-B048,正廠,0,-1 個,0[A0]-1[B19]
COM-B0502,BMW E84 (X1),壓縮機,(CAL-CSE613C) 6PK,10-15,,COM-B0502,DENSO,0,0,
COM-B050T,BMW E84 (X1),壓縮機,(CAL-CSE613C) 6PK,10-15,,COM-B050T,副廠,0,0,0[A]
COM-B051D,BMW 1 (F20 F21),壓縮機,預作資料 (6SBU14A) 6PK,11~24,,COM-B051D,DENSO,0,0,
